"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Yankees","NYY","2025","6235","4069",0.251,0.256,-0.0050000000000000044,0.455,0.474,-0.01899999999999996,0.338,0.35,-0.011999999999999955
"Brewers","MIL","2025","6227","4320",0.258,0.255,0.0030000000000000027,0.403,0.399,0.0040000000000000036,0.322,0.321,0.0010000000000000009
"D-backs","AZ","2025","6210","4265",0.251,0.254,-0.0030000000000000027,0.433,0.435,-0.0020000000000000018,0.327,0.332,-0.0050000000000000044
"Red Sox","BOS","2025","6206","4197",0.254,0.253,0.0010000000000000009,0.421,0.425,-0.0040000000000000036,0.323,0.327,-0.0040000000000000036
"Mariners","SEA","2025","6200","4119",0.244,0.249,-0.0050000000000000044,0.42,0.432,-0.01200000000000001,0.321,0.329,-0.008000000000000007
"Dodgers","LAD","2025","6187","4195",0.253,0.26,-0.007000000000000006,0.441,0.46,-0.019000000000000017,0.331,0.344,-0.012999999999999956
"Braves","ATL","2025","6186","4188",0.245,0.252,-0.007000000000000006,0.399,0.428,-0.02899999999999997,0.315,0.33,-0.015000000000000013
"Blue Jays","TOR","2025","6180","4488",0.265,0.269,-0.0040000000000000036,0.427,0.441,-0.014000000000000012,0.33,0.339,-0.009000000000000008
"Mets","NYM","2025","6178","4200",0.249,0.265,-0.016000000000000014,0.427,0.464,-0.03700000000000003,0.326,0.348,-0.021999999999999964
"Phillies","PHI","2025","6166","4238",0.258,0.262,-0.0040000000000000036,0.431,0.444,-0.013000000000000012,0.329,0.336,-0.007000000000000006
"Cubs","CHC","2025","6162","4283",0.249,0.264,-0.015000000000000013,0.43,0.46,-0.030000000000000027,0.325,0.343,-0.018000000000000016
"Athletics","ATH","2025","6151","4194",0.253,0.247,0.006000000000000005,0.431,0.414,0.017000000000000015,0.324,0.318,0.006000000000000005
"Marlins","MIA","2025","6142","4359",0.25,0.26,-0.010000000000000009,0.393,0.422,-0.02899999999999997,0.309,0.325,-0.016000000000000014
"Tigers","DET","2025","6093","4057",0.247,0.252,-0.0050000000000000044,0.413,0.433,-0.020000000000000018,0.317,0.329,-0.01200000000000001
"Astros","HOU","2025","6087","4243",0.25,0.252,-0.0020000000000000018,0.399,0.416,-0.01699999999999996,0.312,0.32,-0.008000000000000007
"Padres","SD","2025","6087","4356",0.252,0.26,-0.008000000000000007,0.39,0.417,-0.02699999999999997,0.311,0.326,-0.015000000000000013
"Reds","CIN","2025","6082","4089",0.245,0.24,0.0050000000000000044,0.391,0.385,0.006000000000000005,0.309,0.307,0.0020000000000000018
"Giants","SF","2025","6072","4069",0.235,0.241,-0.006000000000000005,0.386,0.397,-0.01100000000000001,0.305,0.314,-0.009000000000000008
"Cardinals","STL","2025","6069","4177",0.245,0.248,-0.0030000000000000027,0.379,0.404,-0.025000000000000022,0.304,0.316,-0.01200000000000001
"Twins","MIN","2025","6059","4103",0.238,0.244,-0.006000000000000005,0.397,0.413,-0.01599999999999996,0.309,0.318,-0.009000000000000008
"Rangers","TEX","2025","6046","4167",0.234,0.247,-0.012999999999999984,0.381,0.413,-0.03199999999999997,0.299,0.318,-0.019000000000000017
"Rays","TB","2025","6045","4132",0.251,0.251,0,0.401,0.405,-0.0040000000000000036,0.311,0.316,-0.0050000000000000044
"Orioles","BAL","2025","6020","4004",0.235,0.245,-0.010000000000000009,0.394,0.418,-0.023999999999999966,0.305,0.32,-0.015000000000000013
"Pirates","PIT","2025","6008","3998",0.231,0.246,-0.014999999999999986,0.35,0.395,-0.04500000000000004,0.29,0.313,-0.02300000000000002
"Royals","KC","2025","6008","4405",0.247,0.261,-0.014000000000000012,0.397,0.427,-0.02999999999999997,0.307,0.326,-0.019000000000000017
"Angels","LAA","2025","6000","3795",0.225,0.239,-0.013999999999999985,0.397,0.425,-0.02799999999999997,0.302,0.319,-0.017000000000000015
"White Sox","CWS","2025","5987","4071",0.232,0.24,-0.00799999999999998,0.373,0.403,-0.030000000000000027,0.296,0.312,-0.016000000000000014
"Nationals","WSH","2025","5982","4129",0.242,0.26,-0.018000000000000016,0.389,0.418,-0.02899999999999997,0.302,0.323,-0.02100000000000002
"Guardians","CLE","2025","5943","4045",0.226,0.233,-0.007000000000000006,0.373,0.378,-0.0050000000000000044,0.292,0.299,-0.007000000000000006
"Rockies","COL","2025","5908","3933",0.237,0.238,-0.0010000000000000009,0.386,0.392,-0.006000000000000005,0.296,0.3,-0.0040000000000000036